,accountId,id,name,profileIconId,puuid,revisionDate,status.message,status.status_code,summonerLevel
53,U29dfd6clKyiP_mLwtKs1OXRLX0Oa4oSlBazZgp4zTLlc_4,EJwm4o0T0UUwqxZEn2ofqH7MZFYDKTdVXS7lV1qr6tZ7bKY,FA Racoon,3812.0,P_hY-vGsooP3lsbX5X4wUMhGBHNHtFjjHhoranfqGFh_gWI1GjGjZ8ciqEadvDHWaCTZ7SyRWmHbDQ,1595845944000.0,,,260.0
54,xgOa-JlmaFXjvUtlK7ZE91lil7IwiT8gjVD-ZSimH422-eHdar1JqZ3x,FcQJWZrmGYYYed40V1bVkaamyfjYz5mZidZOV61GUYQXp9w,feijizhadan,4496.0,tSfaQQqoh8iMXX2J5jMdIkQdV3qSWiqmsemxtEyA6i53BKARimtDAZELBKZzXYS94z0GacVYrGlpHA,1595509850000.0,,,149.0
55,SBjNgdkpuz94vJBC9yHmgxX68lRSWvEev9EeIkeT6vFV,JJv1hB9eCeJBYuUjibIduPoMkTT3WeHCH3F9IDVRCdNEJg,SHARK KING,4026.0,1yNhmcdjxj7N2nhjr4Ym1bAPxqLK74Lr6psmiKSW0f8UCx7k-yA29grB63VanSHdXF0vs-jz9akomg,1596069119000.0,,,417.0
56,x79ScAhDO13nQ9Xwo_hyxdIRKGOKULoNGdFU3-ylTy6akYE,w-TDwtYGAn9gPwH26ocC0Jb-oxdo2LZw9nY5k3l2i4FVSFE,Light1500,4569.0,KAA2fP4n8gKyJYL1kUPp2bQXRwNicNDKYOoq26nW5uGtalN79tkknnpdYQt6xnSCEPvjGe2rJdSteQ,1595920382000.0,,,292.0
57,Os56pYvCYJY7ldbPiaxXSEWTDNj9hb99cD-c8jgLQ_cCTmwlQC0WG5TL,DoFIEtt_KKtgLJBJws_JfWqBl17ga4wk6c2XDLTH2CG_5cg,wuhudsm,4568.0,IqSG_n4jmVOkcfXecDbHufh-EPgCxYKRqa6EY5lJaf2CWw0LSD7okSTkKzXxYbfSMLc6OwTY_pmIlg,1596022710000.0,,,116.0
58,de-VZdkIKp-G34IZUqIKvN_f4AucUMztYR_zGtqeyYRpRL7SMi58sEkH,KwIhrgOYLolAoMrzfjHjsYIogS1zG31UJP9Czn6Jor4MOA0,Da Su Ke De,4634.0,cGEyP_XAV88lV6ChtpMkP8HoWP4vWh0zpAjjjN1ZMvFcVMOx4IGK4sX4MDdZih3QDq4aeHELieJxuQ,1596005189000.0,,,121.0
59,_doGXdA0uTvVLLOFFwSn_Q3JQiugM0zcmcZ9xf_rTxcotcLywI7omJJi,mBnUq99IHGl6EJVFnLBpAFpn4eO7AbCOsfd7w8AKLedyqdc,hy2rwt,4535.0,o_k9XdaB42jLCiDJCdO3ziZSoL-SK1dfv8wNtFVZ14qyojEf9SMwpqcxJ3gxggxQyGYiT48tCJTaYA,1596107877000.0,,,334.0
60,78JJYcpS7dX6oTUdphr4aQYW55XxhfoD7jFG-R8gQHbM_OE,ldZqafofq4Jv_rIKNurLrk86zhG4TP3gT06IW6v9DHGvVtI,T1 BurdoI,12.0,ERF52dO_ZM00v0Tbi1fWjvUNWQicJ4zu7rk10Elpy0DSiFY3wcJRAPAto8nun7ZePG1hLjwcBoUxMA,1596066659000.0,,,252.0
61,b-gKXjlPTo-xmhMzDLAY9kqNRwggqN5fjf_uq2pZ9cfxUfk,Quaak7CCGnG4jtgUCWWWuUdMFv2tFbFhWHDJpnMWfY7fFII,Sangchu,4653.0,CLXcSrX80zNGOZjjJPv1pWMZT59aKU5tqF86iN-3HJn2eDvpu_xLznTaZyhrP9C0qY7OD6EMt7hRpA,1596093951000.0,,,168.0
62,kOHcSJQHwKsEFwI4MaLC4FbZ7nUj9dcixAwvudx6RDhTWXk,k6jZH5gUYRYNFyjNWG_YZdOb1-bdG3MUq8rH2AyiitWGE54,JUGKlNG,3554.0,721cJ19uuG7kEhDaoP4bCno05mcw9lGEAChQF6kM7H1ZAuzXYeVK1dDkqSByXQJ5wXlcgfE2duvTxg,1595851319000.0,,,208.0
